env,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence,wind_force
WindyCartPole-v1,linear_tree_ridge,1,True,38.254,34.7128225545041,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,2,False,44.436,40.6937599693942,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,2,True,38.36,46.8676006777894,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,4,False,53.884,56.0220986934897,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,4,True,33.814,56.0474240846987,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,6,False,54.128,76.5622462311558,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,6,True,41.46,78.548337964303,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,8,False,48.366,65.8519000124054,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,8,True,47.6,71.3282964705882,0.1,0.8
WindyCartPole-v1,DDQN,,,42.44,44.2097135902637,0.1,1
WindyCartPole-v1,decision_tree,1,False,15.42,27.5546228274968,0.1,1
WindyCartPole-v1,decision_tree,1,True,23.25,27.4733974193548,0.1,1
WindyCartPole-v1,decision_tree,2,False,17.922,27.6733094520701,0.1,1
WindyCartPole-v1,decision_tree,2,True,39.73,27.6281826327712,0.1,1
WindyCartPole-v1,decision_tree,4,False,32.396,27.4319248672676,0.1,1
WindyCartPole-v1,decision_tree,4,True,38.97,27.180276007185,0.1,1
WindyCartPole-v1,decision_tree,6,False,35.036,27.3477356433383,0.1,1
WindyCartPole-v1,decision_tree,6,True,40.72,27.5307479371316,0.1,1
WindyCartPole-v1,decision_tree,8,False,35.368,27.1250007351278,0.1,1
WindyCartPole-v1,decision_tree,8,True,36.386,27.4730454570439,0.1,1
WindyCartPole-v1,linear_tree_logistic,1,False,44.272,14.6842539302494,0.1,1
WindyCartPole-v1,linear_tree_logistic,1,True,35.296,14.6815914551224,0.1,1
WindyCartPole-v1,linear_tree_logistic,2,False,36.336,26.1925808564509,0.1,1
WindyCartPole-v1,linear_tree_logistic,2,True,30.112,20.399035401169,0.1,1
WindyCartPole-v1,linear_tree_logistic,4,False,39.722,35.3130618800665,0.1,1
WindyCartPole-v1,linear_tree_logistic,4,True,38.922,39.7334150865834,0.1,1
WindyCartPole-v1,linear_tree_logistic,6,False,36.528,59.174179478756,0.1,1
WindyCartPole-v1,linear_tree_logistic,6,True,39.902,51.278686131021,0.1,1
WindyCartPole-v1,linear_tree_logistic,8,False,31.256,53.8867792423855,0.1,1
WindyCartPole-v1,linear_tree_logistic,8,True,28.578,50.0616582685982,0.1,1
WindyCartPole-v1,linear_tree_ridge,1,False,33.328,35.1826343014883,0.1,1
WindyCartPole-v1,linear_tree_ridge,1,True,35.098,34.6565571827455,0.1,1
WindyCartPole-v1,linear_tree_ridge,2,False,33.842,40.595808876544,0.1,1
WindyCartPole-v1,linear_tree_ridge,2,True,35.88,46.2586543478261,0.1,1
WindyCartPole-v1,linear_tree_ridge,4,False,40.714,55.38317222577,0.1,1
WindyCartPole-v1,linear_tree_ridge,4,True,29.882,55.6613539254401,0.1,1
WindyCartPole-v1,linear_tree_ridge,6,False,38.468,77.0083358115837,0.1,1
WindyCartPole-v1,linear_tree_ridge,6,True,33.162,78.3892841203788,0.1,1
WindyCartPole-v1,linear_tree_ridge,8,False,38.22,65.1117274725275,0.1,1
WindyCartPole-v1,linear_tree_ridge,8,True,38.794,70.4623987214518,0.1,1
