env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,wind_power,turbulence_power
WindyCartPole-v1,decision_tree,1,False,15.537,26.530530540001287,0.1,1.0
WindyCartPole-v1,decision_tree,1,True,22.512,26.569955668088127,0.1,1.0
WindyCartPole-v1,decision_tree,2,False,18.358,26.43831806296982,0.1,1.0
WindyCartPole-v1,decision_tree,2,True,39.777,26.57335525554969,0.1,1.0
WindyCartPole-v1,decision_tree,4,False,32.644,26.736352591594166,0.1,1.0
WindyCartPole-v1,decision_tree,4,True,40.175,26.62917966397013,0.1,1.0
WindyCartPole-v1,decision_tree,6,False,34.152,27.425032882408058,0.1,1.0
WindyCartPole-v1,decision_tree,6,True,40.803,26.780378403548752,0.1,1.0
WindyCartPole-v1,decision_tree,8,False,36.277,26.93782123659619,0.1,1.0
WindyCartPole-v1,decision_tree,8,True,35.406,27.067589871773144,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,1,False,44.068,13.9620344921485,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,1,True,36.233,13.919505754422765,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,2,False,36.236,24.883272022298264,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,2,True,29.597,19.354191978916784,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,4,False,40.249,33.62442169991801,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,4,True,37.988,38.00590689165,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,6,False,36.295,56.12050497313679,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,6,True,39.644,48.57944115124609,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,8,False,30.671,50.94933308336865,0.1,1.0
WindyCartPole-v1,linear_tree_logistic,8,True,29.192,47.45979343655795,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,1,False,34.043,34.34723828687249,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,1,True,34.066,34.508945899136975,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,2,False,34.199,39.55965610105558,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,2,True,35.309,45.762556147157945,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,4,False,39.481,53.96476885083964,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,4,True,30.359,54.03463282716822,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,6,False,38.038,74.43579552026921,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,6,True,33.736,75.28925984111929,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,8,False,36.836,63.359718699098714,0.1,1.0
WindyCartPole-v1,linear_tree_ridge,8,True,39.959,68.25143221802347,0.1,1.0
